lemma,n,gold_k,grounded,q1_all,q1_nam,ctl_all,ctl_nam,ari_text_o,ari_merge_o,ari_text_u,ari_merge_u,gain_nam
face,135,2,3,0.0,,0.0,,0.03461996622926172,0.0,0.017585567324204417,0.0,
field,93,7,5,0.043010752688172046,0.16666666666666666,0.0,0.0,0.418495877209666,0.0,0.3638713461023056,0.0,-0.16666666666666666
figure,159,7,2,0.025157232704402517,0.5,0.034591194968553465,0.6875,0.5556930777222464,0.15569581152662332,0.6393143080223532,0.45383309806497607,0.1875
film,54,2,5,0.0,0.0,0.0,0.0,0.20721565731160246,0.0,0.19277442515614376,0.0,0.0
floor,52,2,4,0.34615384615384615,0.34615384615384615,0.28846153846153844,0.28846153846153844,0.9213967403811955,0.9213967403811955,0.9213967403811955,0.9213967403811955,-0.05769230769230771
foot,141,2,2,0.0,,0.0,,1.0,0.0,1.0,0.0,
form,209,4,2,0.0,,0.0,,0.5539822295275721,0.0,0.5853619220146341,0.0,
game,76,3,3,0.4605263157894737,0.9459459459459459,0.48684210526315785,1.0,0.055529652820751216,0.0,0.10014896411799978,0.0,0.05405405405405406
ground,49,2,5,0.04081632653061224,0.05263157894736842,0.0,0.0,1.0,1.0,1.0,1.0,-0.05263157894736842
head,161,2,9,0.6149068322981367,0.6149068322981367,1.0,1.0,1.0,1.0,0.42375751228545244,0.4722510312325931,0.3850931677018633
heart,60,3,2,0.0,,0.0,,0.4963481694867852,0.0,0.5784667698244409,0.0,
home,101,3,3,0.43564356435643564,1.0,0.4356435643564357,1.0,0.022489665286934347,0.0,0.027250017240857866,0.0,0.0
image,46,3,2,0.17391304347826086,1.0,0.17391304347826084,1.0,0.24179488703340146,0.0,0.24530541254577987,0.0,0.0
land,49,3,5,0.3673469387755102,0.6666666666666666,0.3673469387755102,0.6666666666666667,0.2315564986242597,0.0,0.12570965125709652,0.0,1.1102230246251565e-16
level,106,3,3,0.0,,0.0,,0.1068404492309867,0.027669340111767932,0.16589871944339218,0.022876197177207156,
light,77,4,4,0.2987012987012987,1.0,0.2987012987012987,1.0,0.3541645573949124,0.0,0.2811107574161498,0.0,0.0
line,89,8,11,0.12359550561797752,0.6470588235294118,0.12808988764044943,0.6705882352941177,0.4039161252688168,0.020321067750296802,0.4200278565087106,0.035343108825573635,0.02352941176470591
man,566,4,4,0.06890459363957598,0.5,0.051236749116607784,0.3717948717948718,0.09329475609504101,0.0,0.09211876305624125,0.0,-0.1282051282051282
material,107,2,3,0.04672897196261682,0.0684931506849315,0.0,0.0,0.6223401283289427,0.0,0.6223401283289427,0.0,-0.0684931506849315
matter,56,2,2,0.0,,0.0,,0.03176628977800183,0.0,0.03176628977800183,0.0,
means,58,2,2,0.06896551724137931,0.36363636363636365,0.015517241379310345,0.08181818181818182,-0.025630512968698265,0.0004296116628906498,0.0053922716439076665,0.021968916660731162,-0.28181818181818186
mouth,41,2,2,0.7560975609756098,1.0,0.7560975609756098,1.0,0.13864781766182263,0.0,0.13736521674542304,0.0,0.0
